Município,Província
Aguadulce,Sevilha
Aguilar de la Frontera,Córdoba
Albolote,Granada
Alcalá de Guadaíra,Sevilha
Alcalá de los Gazules,Cádiz
Alcorcón,Comunidade de Madrid
Algarrobo,Málaga
Algeciras,Cádiz
Alhaurín de la Torre,Málaga
Alhendín,Granada
Almaraz,Cáceres
Almendralejo,Badajoz
Almensilla,Sevilha
Almuñécar,Granada
Almuradiel,Ciudad Real
Andújar,Jaén
Antequera,Málaga
Arahal,Sevilha
Aranjuez,Comunidade de Madrid
Archidona,Málaga
Aroche,Huelva
Arroyo de San Serván,Badajoz
Arroyomolinos,Comunidade de Madrid
Atarfe,Granada
Ayamonte,Huelva
Badajoz,Badajoz
Bailén,Jaén
Belvís de Monroy,Cáceres
Benacazón,Sevilha
Benalmádena,Málaga
Benamejí,Córdoba
Boadilla del Monte,Comunidade de Madrid
Bollullos de la Mitación,Sevilha
Bollullos Par del Condado,Huelva
Bonares,Huelva
Bormujos,Sevilha
Calera y Chozas,Toledo
Calzadilla de los Barros,Badajoz
Camas,Sevilha
Cambil,Jaén
Campillo de Arenas,Jaén
Campotéjar,Granada
Carboneros,Jaén
Cárcheles,Jaén
Carmona,Sevilha
Carranque,Toledo
Carrión de los Céspedes,Sevilha
Cartaya,Huelva
Casabermeja,Málaga
Casarrubios del Monte,Toledo
Castilleja de la Cuesta,Sevilha
Cazalegas,Toledo
Chauchina,Granada
Chucena,Huelva
Cijuela,Granada
Ciudad Real,Ciudad Real
Córdoba,Córdoba
Coria del Río,Sevilha
Dehesas Viejas,Granada
Deifontes,Granada
Deleitosa,Cáceres
Don Benito,Badajoz
Dos Hermanas,Sevilha
Dosbarrios,Toledo
Écija,Sevilha
El Carpio,Córdoba
El Cuervo de Sevilla,Sevilha
El Garrobo,Sevilha
El Granado,Huelva
El Pinar,Granada
El Ronquillo,Sevilha
Encinas Reales,Córdoba
Encinasola,Huelva
Escurial,Cáceres
Espartinas,Sevilha
Estepa,Sevilha
Estepona,Málaga
Fernán Núñez,Córdoba
Frigiliana,Málaga
Fuengirola,Málaga
Fuenlabrada,Comunidade de Madrid
Fuente de Cantos,Badajoz
Fuente de Piedra,Málaga
Fuentes de Andalucía,Sevilha
Gelves,Sevilha
Getafe,Comunidade de Madrid
Gibraleón,Huelva
Granada,Granada
Guareña,Badajoz
Guarromán,Jaén
Guillena,Sevilha
Herencia,Ciudad Real
Herreruela de Oropesa,Toledo
Huelva,Huelva
Huétor Tájar,Granada
Huévar del Aljarafe,Sevilha
Isla Cristina,Huelva
Iznalloz,Granada
Jabalquinto,Jaén
Jaén,Jaén
Jaraicejo,Cáceres
Jerez de la Frontera,Cádiz
La Calzada de Oropesa,Toledo
La Campana,Sevilha
La Carlota,Córdoba
La Carolina,Jaén
La Guardia de Jaén,Jaén
La Guardia,Toledo
La Línea de la Concepción,Cádiz
La Luisiana,Sevilha
La Puebla de Cazalla,Sevilha
La Rinconada,Sevilha
La Roda de Andalucía,Sevilha
Láchar,Granada
Lagartera,Toledo
Las Cabezas de San Juan,Sevilha
Las Rozas de Madrid,Comunidade de Madrid
Las Ventas de Retamosa,Toledo
Lebrija,Sevilha
Lecrín,Granada
Leganés,Comunidade de Madrid
Lepe,Huelva
Llanos del Caudillo,Ciudad Real
Lobón,Badajoz
Loja,Granada
Lopera,Jaén
Lora de Estepa,Sevilha
Los Barrios,Cádiz
Los Cerralbos,Toledo
Los Palacios y Villafranca,Sevilha
Los Santos de Maimona,Badajoz
Lucena,Córdoba
Lucillos,Toledo
Madrid,Comunidade de Madrid
Madridejos,Toledo
Mairena del Aljarafe,Sevilha
Majadahonda,Comunidade de Madrid
Málaga,Málaga
Manilva,Málaga
